Date,Order_ID,Product,SKU,Category,Region,City,Salesperson,Channel,Quantity,Unit_Price,Discount_Rate,Revenue,Unit_Cost,Profit
2025-11-12,RS-00021,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Byblos,David,B2B,22,1250,0.1,24750.0,850,6050.0
2026-01-04,RS-00022,27-inch Monitor,MON-027,Displays,South,Tyre,Bob,Store,6,220,0,1320,135,510
2025-10-06,RS-00023,Mechanical Keyboard,KEY-022,Accessories,South,Saida,David,Store,24,55,0,1320,25,720
2025-10-09,RS-00024,Webcam HD,CAM-018,Accessories,Beirut,Beirut,David,Store,41,65,0.05,2531.75,32,1219.75
2026-02-16,RS-00025,Laptop Pro 14,LAP-140,Computers,South,Tyre,David,Online,3,950,0,2850,650,900
2026-01-19,RS-00026,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Byblos,Rami,Online,2,1250,0,2500,850,800
2025-10-26,RS-00027,Laptop Pro 14,LAP-140,Computers,North,Batroun,Bob,Store,4,950,0,3800,650,1200
2025-12-11,RS-00028,27-inch Monitor,MON-027,Displays,Beirut,Beirut,Rami,Online,25,220,0.1,4950.0,135,1575.0
2025-10-26,RS-00029,Laptop Pro 14,LAP-140,Computers,North,Tripoli,Bob,B2B,16,950,0.1,13680.0,650,3280.0
2026-01-11,RS-00030,Noise-Cancel Headset,HDS-033,Audio,Mount Lebanon,Jounieh,Nour,Store,13,145,0,1885,85,780
2026-01-25,RS-00031,Gaming Laptop X,LAP-220,Computers,South,Tyre,Carla,Store,3,1250,0.05,3562.5,850,1012.5
2025-10-16,RS-00032,USB-C Dock,DOC-101,Accessories,North,Tripoli,Alice,Online,21,120,0.05,2394.0,70,924.0
2026-02-13,RS-00033,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Carla,Store,12,950,0,11400,650,3600
2025-12-03,RS-00034,4K Monitor,MON-040,Displays,North,Tripoli,Bob,Store,7,380,0.05,2527.0,240,847.0
2026-02-11,RS-00035,Gaming Laptop X,LAP-220,Computers,Bekaa,Zahle,David,Online,2,1250,0,2500,850,800
2025-12-16,RS-00036,27-inch Monitor,MON-027,Displays,Beirut,Beirut,Alice,Store,31,220,0.15,5797.0,135,1612.0
2025-10-26,RS-00037,Laptop Pro 14,LAP-140,Computers,South,Saida,Elie,Store,2,950,0,1900,650,600
2025-12-12,RS-00038,Laptop Pro 14,LAP-140,Computers,Bekaa,Zahle,Alice,Online,6,950,0.05,5415.0,650,1515.0
2025-10-27,RS-00039,Tablet Air,TAB-080,Tablets,Mount Lebanon,Jounieh,Elie,Store,8,420,0,3360,280,1120
2025-11-23,RS-00040,Wireless Mouse,MOU-014,Accessories,South,Saida,Elie,Store,34,28,0,952,11,578
2025-10-14,RS-00041,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Elie,Store,3,950,0.15,2422.5,650,472.5
2025-11-11,RS-00042,USB-C Dock,DOC-101,Accessories,Mount Lebanon,Byblos,Alice,Store,25,120,0.15,2550.0,70,800.0
2025-11-08,RS-00043,4K Monitor,MON-040,Displays,North,Batroun,Carla,Store,9,380,0.15,2907.0,240,747.0
2025-10-11,RS-00044,Noise-Cancel Headset,HDS-033,Audio,South,Saida,David,Online,11,145,0,1595,85,660
2026-01-13,RS-00045,USB Cable,USB-001,Accessories,Mount Lebanon,Jounieh,David,Online,44,14,0.1,554.4,4,378.4
2025-10-07,RS-00046,Laptop Pro 14,LAP-140,Computers,North,Batroun,Nour,Online,2,950,0.1,1710.0,650,410.0
2025-12-03,RS-00047,Gaming Laptop X,LAP-220,Computers,Beirut,Beirut,Nour,Online,6,1250,0.1,6750.0,850,1650.0
2026-01-26,RS-00048,Gaming Laptop X,LAP-220,Computers,South,Saida,David,Store,1,1250,0,1250,850,400
2025-12-24,RS-00049,Gaming Laptop X,LAP-220,Computers,Beirut,Beirut,Elie,Store,2,1250,0.1,2250.0,850,550.0
2025-12-24,RS-00050,Tablet Air,TAB-080,Tablets,Beirut,Beirut,Elie,Store,6,420,0.15,2142.0,280,462.0
2025-12-07,RS-00051,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Maya,Online,3,950,0.05,2707.5,650,757.5
2026-01-07,RS-00052,Noise-Cancel Headset,HDS-033,Audio,South,Saida,Elie,Store,14,145,0,2030,85,840
2026-02-11,RS-00053,Tablet Air,TAB-080,Tablets,South,Saida,Maya,Store,8,420,0.05,3192.0,280,952.0
2025-11-01,RS-00054,Wireless Mouse,MOU-014,Accessories,Bekaa,Zahle,Elie,Online,36,28,0,1008,11,612
2025-12-15,RS-00055,4K Monitor,MON-040,Displays,South,Saida,Nour,Online,1,380,0,380,240,140
2025-12-17,RS-00056,27-inch Monitor,MON-027,Displays,North,Tripoli,Elie,Store,25,220,0,5500,135,2125
2025-12-22,RS-00057,27-inch Monitor,MON-027,Displays,South,Tyre,David,Store,14,220,0.05,2926.0,135,1036.0
2025-10-22,RS-00058,Gaming Laptop X,LAP-220,Computers,North,Batroun,Bob,Online,1,1250,0.1,1125.0,850,275.0
2025-12-19,RS-00059,Gaming Laptop X,LAP-220,Computers,South,Saida,Carla,Store,4,1250,0.1,4500.0,850,1100.0
2025-10-19,RS-00060,27-inch Monitor,MON-027,Displays,South,Saida,Nour,Store,10,220,0,2200,135,850
2025-10-02,RS-00061,Noise-Cancel Headset,HDS-033,Audio,Beirut,Beirut,Nour,Store,17,145,0,2465,85,1020
2025-12-03,RS-00062,Noise-Cancel Headset,HDS-033,Audio,Beirut,Beirut,Rami,Store,15,145,0,2175,85,900
2026-02-13,RS-00063,Laptop Sleeve,SLV-010,Accessories,North,Batroun,Rami,Online,30,25,0.1,675.0,8,435.0
2026-01-23,RS-00064,Noise-Cancel Headset,HDS-033,Audio,South,Tyre,Rami,Store,8,145,0,1160,85,480
2025-12-10,RS-00065,USB-C Dock,DOC-101,Accessories,South,Tyre,David,Store,14,120,0,1680,70,700
2025-12-21,RS-00066,Noise-Cancel Headset,HDS-033,Audio,Beirut,Beirut,Carla,Store,27,145,0,3915,85,1620
2025-11-09,RS-00067,Wireless Mouse,MOU-014,Accessories,Beirut,Beirut,Nour,Store,38,28,0,1064,11,646
2026-01-16,RS-00068,27-inch Monitor,MON-027,Displays,North,Tripoli,Nour,Store,12,220,0.15,2244.0,135,624.0
2025-12-16,RS-00069,USB-C Dock,DOC-101,Accessories,Mount Lebanon,Byblos,David,Store,18,120,0,2160,70,900
2026-01-12,RS-00070,Wireless Mouse,MOU-014,Accessories,South,Tyre,Carla,B2B,45,28,0.1,1134.0,11,639.0
2025-10-07,RS-00071,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Carla,Online,6,950,0,5700,650,1800
2026-01-25,RS-00072,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Byblos,Elie,Online,7,1250,0.1,7875.0,850,1925.0
2025-12-04,RS-00073,Webcam HD,CAM-018,Accessories,South,Tyre,Alice,Online,42,65,0,2730,32,1386
2025-10-18,RS-00074,USB-C Dock,DOC-101,Accessories,North,Tripoli,Alice,B2B,27,120,0.1,2916.0,70,1026.0
2025-11-09,RS-00075,Gaming Laptop X,LAP-220,Computers,South,Tyre,Bob,Online,4,1250,0.1,4500.0,850,1100.0
2025-11-12,RS-00076,Mechanical Keyboard,KEY-022,Accessories,Beirut,Beirut,Carla,B2B,72,55,0.1,3564.0,25,1764.0
2025-12-19,RS-00077,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,Nour,B2B,17,380,0.1,5814.0,240,1734.0
2025-10-27,RS-00078,Wireless Mouse,MOU-014,Accessories,Bekaa,Zahle,Bob,Online,29,28,0.05,771.4,11,452.4
2025-10-11,RS-00079,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Byblos,Maya,Store,5,1250,0,6250,850,2000
2026-02-03,RS-00080,Laptop Pro 14,LAP-140,Computers,North,Batroun,Rami,Online,3,950,0,2850,650,900
2026-02-11,RS-00081,USB Cable,USB-001,Accessories,Bekaa,Zahle,Rami,Store,29,14,0,406,4,290
2025-12-02,RS-00082,Webcam HD,CAM-018,Accessories,Beirut,Beirut,Elie,B2B,69,65,0.1,4036.5,32,1828.5
2026-01-06,RS-00083,Gaming Laptop X,LAP-220,Computers,South,Tyre,Maya,Store,4,1250,0,5000,850,1600
2025-12-10,RS-00084,4K Monitor,MON-040,Displays,South,Saida,Bob,Store,7,380,0,2660,240,980
2025-12-01,RS-00085,Wireless Mouse,MOU-014,Accessories,South,Tyre,Rami,Online,28,28,0.05,744.8,11,436.8
2025-12-18,RS-00086,Wireless Mouse,MOU-014,Accessories,North,Batroun,Rami,Online,38,28,0,1064,11,646
2025-12-24,RS-00087,Gaming Laptop X,LAP-220,Computers,South,Tyre,Elie,Store,4,1250,0,5000,850,1600
2026-02-15,RS-00088,Tablet Air,TAB-080,Tablets,Mount Lebanon,Jounieh,David,Store,10,420,0.05,3990.0,280,1190.0
2026-02-12,RS-00089,Mechanical Keyboard,KEY-022,Accessories,Beirut,Beirut,David,Store,40,55,0.05,2090.0,25,1090.0
2025-11-02,RS-00090,Gaming Laptop X,LAP-220,Computers,North,Tripoli,Elie,Online,8,1250,0,10000,850,3200
2026-02-03,RS-00091,Laptop Pro 14,LAP-140,Computers,North,Tripoli,Elie,Store,2,950,0,1900,650,600
2026-01-31,RS-00092,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Nour,Store,5,950,0.05,4512.5,650,1262.5
2025-10-14,RS-00093,Laptop Pro 14,LAP-140,Computers,Bekaa,Zahle,Bob,B2B,18,950,0.1,15390.0,650,3690.0
2026-02-11,RS-00094,27-inch Monitor,MON-027,Displays,South,Tyre,Elie,Online,13,220,0.15,2431.0,135,676.0
2025-12-18,RS-00095,4K Monitor,MON-040,Displays,North,Tripoli,Bob,B2B,16,380,0.1,5472.0,240,1632.0
2025-12-01,RS-00096,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Carla,Store,10,950,0,9500,650,3000
2026-01-29,RS-00097,Gaming Laptop X,LAP-220,Computers,South,Saida,Elie,Online,2,1250,0.05,2375.0,850,675.0
2025-12-07,RS-00098,USB-C Dock,DOC-101,Accessories,South,Saida,Nour,Store,8,120,0,960,70,400
2025-11-08,RS-00099,Noise-Cancel Headset,HDS-033,Audio,Mount Lebanon,Jounieh,Bob,Store,20,145,0.1,2610.0,85,910.0
2025-12-13,RS-00100,27-inch Monitor,MON-027,Displays,South,Tyre,Elie,Online,10,220,0.15,1870.0,135,520.0
2026-02-06,RS-00101,4K Monitor,MON-040,Displays,South,Tyre,Bob,Online,5,380,0.05,1805.0,240,605.0
2025-10-07,RS-00102,Laptop Pro 14,LAP-140,Computers,North,Tripoli,Elie,Online,1,950,0.1,855.0,650,205.0
2025-11-14,RS-00103,27-inch Monitor,MON-027,Displays,South,Tyre,Elie,Store,10,220,0.05,2090.0,135,740.0
2025-10-24,RS-00104,27-inch Monitor,MON-027,Displays,Mount Lebanon,Byblos,Maya,Store,16,220,0,3520,135,1360
2025-11-11,RS-00105,Gaming Laptop X,LAP-220,Computers,South,Tyre,Elie,Online,1,1250,0,1250,850,400
2025-10-23,RS-00106,Gaming Laptop X,LAP-220,Computers,North,Batroun,Bob,B2B,11,1250,0.1,12375.0,850,3025.0
2026-02-16,RS-00107,27-inch Monitor,MON-027,Displays,North,Tripoli,David,Store,13,220,0,2860,135,1105
2025-10-14,RS-00108,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,Elie,Store,2,1250,0.05,2375.0,850,675.0
2025-11-01,RS-00109,Laptop Pro 14,LAP-140,Computers,South,Saida,Carla,Store,7,950,0,6650,650,2100
2025-10-30,RS-00110,27-inch Monitor,MON-027,Displays,Beirut,Beirut,Carla,Store,21,220,0.05,4389.0,135,1554.0
2026-02-08,RS-00111,Wireless Mouse,MOU-014,Accessories,Mount Lebanon,Byblos,Rami,B2B,43,28,0.1,1083.6,11,610.6
2025-10-18,RS-00112,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Byblos,Maya,B2B,15,1250,0.1,16875.0,850,4125.0
2025-12-12,RS-00113,Wireless Mouse,MOU-014,Accessories,South,Tyre,Carla,Store,29,28,0.1,730.8,11,411.8
2026-01-05,RS-00114,27-inch Monitor,MON-027,Displays,North,Batroun,David,B2B,31,220,0.1,6138.0,135,1953.0
2025-11-29,RS-00115,Webcam HD,CAM-018,Accessories,Mount Lebanon,Byblos,Alice,Store,43,65,0,2795,32,1419
2025-11-08,RS-00116,4K Monitor,MON-040,Displays,North,Tripoli,Carla,Store,7,380,0.05,2527.0,240,847.0
2025-10-26,RS-00117,Noise-Cancel Headset,HDS-033,Audio,South,Tyre,Bob,Online,6,145,0,870,85,360
2025-11-09,RS-00118,Laptop Pro 14,LAP-140,Computers,Bekaa,Zahle,Maya,Online,6,950,0,5700,650,1800
2025-10-21,RS-00119,Webcam HD,CAM-018,Accessories,Mount Lebanon,Byblos,Maya,Online,46,65,0.05,2840.5,32,1368.5
2025-10-18,RS-00120,Gaming Laptop X,LAP-220,Computers,Bekaa,Zahle,David,Online,2,1250,0,2500,850,800
2025-10-26,RS-00121,USB-C Dock,DOC-101,Accessories,Beirut,Beirut,Rami,Store,17,120,0,2040,70,850
2025-10-15,RS-00122,Gaming Laptop X,LAP-220,Computers,North,Batroun,Nour,Store,4,1250,0.05,4750.0,850,1350.0
2025-11-16,RS-00123,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Nour,Online,5,950,0,4750,650,1500
2026-01-27,RS-00124,Mechanical Keyboard,KEY-022,Accessories,South,Tyre,Elie,Online,30,55,0.1,1485.0,25,735.0
2026-01-28,RS-00125,Noise-Cancel Headset,HDS-033,Audio,Mount Lebanon,Jounieh,Bob,Store,13,145,0.05,1790.75,85,685.75
2026-01-17,RS-00126,Wireless Mouse,MOU-014,Accessories,South,Tyre,Elie,Store,27,28,0,756,11,459
2026-02-01,RS-00127,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Maya,Online,8,950,0.15,6460.0,650,1260.0
2026-01-10,RS-00128,Gaming Laptop X,LAP-220,Computers,North,Tripoli,Rami,Online,4,1250,0.1,4500.0,850,1100.0
2025-11-28,RS-00129,Mechanical Keyboard,KEY-022,Accessories,North,Batroun,David,Online,36,55,0.05,1881.0,25,981.0
2025-11-05,RS-00130,Mechanical Keyboard,KEY-022,Accessories,North,Tripoli,Elie,Online,45,55,0,2475,25,1350
2026-01-02,RS-00131,Wireless Mouse,MOU-014,Accessories,Beirut,Beirut,Elie,Store,43,28,0.1,1083.6,11,610.6
2026-01-02,RS-00132,4K Monitor,MON-040,Displays,Bekaa,Zahle,Carla,Store,5,380,0.1,1710.0,240,510.0
2026-02-01,RS-00133,USB Cable,USB-001,Accessories,Bekaa,Zahle,Maya,Online,33,14,0.1,415.8,4,283.8
2025-11-27,RS-00134,Webcam HD,CAM-018,Accessories,Mount Lebanon,Byblos,Maya,Store,52,65,0,3380,32,1716
2025-12-07,RS-00135,4K Monitor,MON-040,Displays,South,Tyre,Maya,Online,2,380,0.1,684.0,240,204.0
2026-01-04,RS-00136,Laptop Pro 14,LAP-140,Computers,South,Saida,Rami,Store,1,950,0.1,855.0,650,205.0
2025-12-23,RS-00137,Noise-Cancel Headset,HDS-033,Audio,South,Saida,Bob,Online,8,145,0.05,1102.0,85,422.0
2025-10-30,RS-00138,Laptop Pro 14,LAP-140,Computers,North,Tripoli,Elie,B2B,18,950,0.1,15390.0,650,3690.0
2026-02-15,RS-00139,Laptop Pro 14,LAP-140,Computers,South,Tyre,Maya,Online,3,950,0,2850,650,900
2025-11-09,RS-00140,Noise-Cancel Headset,HDS-033,Audio,Beirut,Beirut,Rami,Online,11,145,0.15,1355.75,85,420.75
2025-12-11,RS-00141,Laptop Pro 14,LAP-140,Computers,North,Batroun,David,Store,11,950,0,10450,650,3300
2026-01-03,RS-00142,4K Monitor,MON-040,Displays,North,Batroun,Alice,Store,2,380,0,760,240,280
2025-11-01,RS-00143,Tablet Air,TAB-080,Tablets,South,Tyre,Bob,Online,1,420,0,420,280,140
2025-12-25,RS-00144,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,David,Store,1,1250,0.1,1125.0,850,275.0
2025-11-23,RS-00145,Mechanical Keyboard,KEY-022,Accessories,South,Saida,Maya,Online,36,55,0,1980,25,1080
2025-11-07,RS-00146,Laptop Sleeve,SLV-010,Accessories,Bekaa,Zahle,Carla,Store,35,25,0.1,787.5,8,507.5
2025-11-03,RS-00147,Laptop Pro 14,LAP-140,Computers,South,Saida,Maya,Store,4,950,0,3800,650,1200
2025-10-30,RS-00148,USB-C Dock,DOC-101,Accessories,South,Tyre,Rami,Online,11,120,0.05,1254.0,70,484.0
2025-10-28,RS-00149,27-inch Monitor,MON-027,Displays,South,Saida,Alice,Online,16,220,0,3520,135,1360
2025-10-08,RS-00150,Laptop Pro 14,LAP-140,Computers,South,Tyre,Nour,Store,1,950,0,950,650,300
2026-01-22,RS-00151,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Maya,Online,9,950,0.05,8122.5,650,2272.5
2025-12-23,RS-00152,27-inch Monitor,MON-027,Displays,Bekaa,Zahle,Rami,Store,15,220,0,3300,135,1275
2025-10-30,RS-00153,Webcam HD,CAM-018,Accessories,South,Saida,Nour,Store,20,65,0,1300,32,660
2026-01-15,RS-00154,Wireless Mouse,MOU-014,Accessories,North,Batroun,Nour,Store,28,28,0,784,11,476
2025-11-09,RS-00155,Wireless Mouse,MOU-014,Accessories,South,Tyre,Bob,Store,28,28,0.05,744.8,11,436.8
2026-01-04,RS-00156,Webcam HD,CAM-018,Accessories,North,Tripoli,Maya,Online,47,65,0,3055,32,1551
2026-01-17,RS-00157,Webcam HD,CAM-018,Accessories,North,Tripoli,Elie,Online,38,65,0,2470,32,1254
2026-02-01,RS-00158,Gaming Laptop X,LAP-220,Computers,Beirut,Beirut,Maya,Online,10,1250,0,12500,850,4000
2025-12-11,RS-00159,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,Alice,Online,2,380,0,760,240,280
2025-12-09,RS-00160,Wireless Mouse,MOU-014,Accessories,Bekaa,Zahle,Maya,Store,37,28,0,1036,11,629
2025-11-06,RS-00161,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,Bob,Store,3,380,0.05,1083.0,240,363.0
2025-11-25,RS-00162,27-inch Monitor,MON-027,Displays,South,Tyre,Maya,Store,13,220,0,2860,135,1105
2025-12-23,RS-00163,USB-C Dock,DOC-101,Accessories,Beirut,Beirut,Alice,Store,27,120,0,3240,70,1350
2026-01-22,RS-00164,Wireless Mouse,MOU-014,Accessories,South,Tyre,Rami,Store,21,28,0,588,11,357
2026-02-09,RS-00165,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Bob,Store,2,950,0.05,1805.0,650,505.0
2025-10-12,RS-00166,Gaming Laptop X,LAP-220,Computers,North,Tripoli,Alice,Store,1,1250,0.15,1062.5,850,212.5
2025-11-05,RS-00167,USB-C Dock,DOC-101,Accessories,Bekaa,Zahle,Maya,Store,14,120,0,1680,70,700
2026-02-14,RS-00168,Wireless Mouse,MOU-014,Accessories,North,Batroun,Bob,Store,29,28,0.05,771.4,11,452.4
2026-01-20,RS-00169,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Maya,Online,1,950,0,950,650,300
2025-10-30,RS-00170,27-inch Monitor,MON-027,Displays,North,Batroun,Carla,Online,14,220,0.05,2926.0,135,1036.0
2026-01-01,RS-00171,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,David,Store,4,950,0.1,3420.0,650,820.0
2025-12-26,RS-00172,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,Bob,Store,6,1250,0,7500,850,2400
2026-02-08,RS-00173,Laptop Pro 14,LAP-140,Computers,North,Batroun,Maya,Online,7,950,0,6650,650,2100
2025-11-07,RS-00174,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,Carla,Online,2,1250,0.05,2375.0,850,675.0
2025-11-15,RS-00175,Tablet Air,TAB-080,Tablets,South,Tyre,Rami,Online,3,420,0.1,1134.0,280,294.0
2025-12-22,RS-00176,Webcam HD,CAM-018,Accessories,North,Batroun,Carla,Store,41,65,0,2665,32,1353
2025-12-17,RS-00177,USB-C Dock,DOC-101,Accessories,North,Tripoli,Maya,Store,22,120,0,2640,70,1100
2025-12-13,RS-00178,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Nour,Store,8,950,0.05,7220.0,650,2020.0
2025-10-11,RS-00179,27-inch Monitor,MON-027,Displays,South,Saida,Maya,Online,6,220,0,1320,135,510
2025-12-27,RS-00180,Laptop Sleeve,SLV-010,Accessories,Beirut,Beirut,Carla,Store,59,25,0.05,1401.25,8,929.25
2026-01-21,RS-00181,4K Monitor,MON-040,Displays,Mount Lebanon,Jounieh,Maya,Store,4,380,0,1520,240,560
2025-10-14,RS-00182,USB-C Dock,DOC-101,Accessories,North,Batroun,Bob,Store,15,120,0.05,1710.0,70,660.0
2026-01-07,RS-00183,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,Maya,Store,1,1250,0,1250,850,400
2026-01-09,RS-00184,Laptop Pro 14,LAP-140,Computers,Beirut,Beirut,Elie,Online,1,950,0.05,902.5,650,252.5
2025-12-24,RS-00185,Webcam HD,CAM-018,Accessories,Beirut,Beirut,Nour,Store,45,65,0.15,2486.25,32,1046.25
2025-12-27,RS-00186,Tablet Air,TAB-080,Tablets,South,Tyre,David,Store,3,420,0,1260,280,420
2025-10-20,RS-00187,Gaming Laptop X,LAP-220,Computers,Beirut,Beirut,Alice,Online,10,1250,0.05,11875.0,850,3375.0
2025-11-09,RS-00188,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Jounieh,Rami,Store,1,950,0,950,650,300
2025-11-30,RS-00189,USB Cable,USB-001,Accessories,Bekaa,Zahle,Rami,Store,34,14,0.1,428.4,4,292.4
2025-11-19,RS-00190,27-inch Monitor,MON-027,Displays,South,Tyre,Rami,Online,18,220,0.1,3564.0,135,1134.0
2026-02-06,RS-00191,4K Monitor,MON-040,Displays,Mount Lebanon,Jounieh,David,Online,6,380,0.05,2166.0,240,726.0
2026-01-04,RS-00192,4K Monitor,MON-040,Displays,Beirut,Beirut,Bob,Store,7,380,0.1,2394.0,240,714.0
2025-12-09,RS-00193,27-inch Monitor,MON-027,Displays,Mount Lebanon,Jounieh,Nour,Store,22,220,0.1,4356.0,135,1386.0
2025-10-07,RS-00194,27-inch Monitor,MON-027,Displays,Mount Lebanon,Byblos,Maya,Store,14,220,0.15,2618.0,135,728.0
2026-01-04,RS-00195,Gaming Laptop X,LAP-220,Computers,North,Batroun,Bob,Online,1,1250,0,1250,850,400
2025-12-13,RS-00196,Noise-Cancel Headset,HDS-033,Audio,South,Tyre,Carla,Online,10,145,0,1450,85,600
2025-10-02,RS-00197,Noise-Cancel Headset,HDS-033,Audio,North,Tripoli,Elie,Store,22,145,0.05,3030.5,85,1160.5
2026-01-17,RS-00198,Laptop Pro 14,LAP-140,Computers,Bekaa,Zahle,David,Store,8,950,0,7600,650,2400
2026-01-16,RS-00199,Mechanical Keyboard,KEY-022,Accessories,South,Tyre,Bob,Store,23,55,0,1265,25,690
2026-02-09,RS-00200,4K Monitor,MON-040,Displays,Mount Lebanon,Jounieh,Elie,Store,2,380,0.05,722.0,240,242.0
2025-12-01,RS-00201,4K Monitor,MON-040,Displays,Mount Lebanon,Jounieh,Bob,Online,1,380,0.05,361.0,240,121.0
2026-02-07,RS-00202,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,Rami,Store,10,380,0,3800,240,1400
2026-01-04,RS-00203,Gaming Laptop X,LAP-220,Computers,North,Tripoli,Maya,Online,1,1250,0.05,1187.5,850,337.5
2025-12-25,RS-00204,Laptop Pro 14,LAP-140,Computers,North,Batroun,Maya,Online,11,950,0,10450,650,3300
2026-01-27,RS-00205,Laptop Sleeve,SLV-010,Accessories,South,Tyre,Carla,Online,30,25,0,750,8,510
2025-12-15,RS-00206,Gaming Laptop X,LAP-220,Computers,South,Saida,Alice,Store,6,1250,0,7500,850,2400
2026-01-10,RS-00207,Laptop Sleeve,SLV-010,Accessories,South,Tyre,Elie,Store,24,25,0.1,540.0,8,348.0
2025-10-13,RS-00208,Webcam HD,CAM-018,Accessories,North,Batroun,Elie,Store,33,65,0,2145,32,1089
2026-01-11,RS-00209,USB-C Dock,DOC-101,Accessories,Mount Lebanon,Byblos,Maya,B2B,26,120,0.1,2808.0,70,988.0
2025-10-22,RS-00210,Wireless Mouse,MOU-014,Accessories,Beirut,Beirut,Nour,Online,34,28,0.1,856.8,11,482.8
2026-02-17,RS-00211,Gaming Laptop X,LAP-220,Computers,Beirut,Beirut,Bob,Store,3,1250,0.05,3562.5,850,1012.5
2025-11-12,RS-00212,Wireless Mouse,MOU-014,Accessories,North,Batroun,Rami,Store,41,28,0.1,1033.2,11,582.2
