Date,Order_ID,Product,SKU,Region,Salesperson,Quantity,Unit_Price,Revenue,Customer_ID,Channel,Notes
2026-03-22,D-00022,Monitor,MON-1,WEST,Bob,1060,180,190800,CUST-1082,STORE,extreme outlier
2026-02-20,D-00023,Laptop,LAP-1,West,BOB,12,850,10200,CUST-1257,online,
2026-04-10,D-00024,Mouse,MOU-1,East,Carla,31,25,775,CUST-1110,STORE,
2026-02-27,D-00025,Mouse,MOU-1,West,,1,25,25,CUST-1291,Store,
2026-04-26,D-00026,laptop,LAP-1,south,David,26,850,22100,CUST-1118,Online,
2026-02-24,D-00027,Mouse,MOU-1,EAST,Carla,17,25,425,CUST-1296,STORE,
2026-02-12,D-00028,Laptop,LAP-1,SOUTH,alice,34,850,28900,CUST-1078,B2B,
2026-02-24,D-00029,Laptop,LAP-1,west,alice,2,850,1700,CUST-1242,,
2026-02-03,D-00030,Keyboard,KEY-1,south,alice,36,45,1620,CUST-1042,,
2026-03-25,D-00031,Headset,HDS-1,EAST,David,22,95,2090,CUST-1293,B2B,
2026-02-22,D-00032,Laptop,LAP-1,north,BOB,40,850,34000,CUST-1209,Store,
2026-04-30,D-00033,Monitor,MON-1,East,,22,180,3960,CUST-1243,online,
2026-03-19,D-00034,usb cable,USB-1,,Carla,14,12,168,CUST-1045,online,
2026-03-05,D-00035,USB Cable,USB-1,EAST,Alice,5,12,60,CUST-1280,,
2026-04-11,D-00036,Keyboard,KEY-1,South,Alice,12,45,540,CUST-1250,online,
2026-02-15,D-00037,Keyboard,KEY-1,SOUTH,Carla,ten,45,90,CUST-1269,Online,mixed quantity type
2026-03-12,D-00038,Keyboard,KEY-1,West,Bob,12,45,540,CUST-1038,B2B,
2026-04-16,D-00039,USB Cable,USB-1,East,alice,1,12,,CUST-1196,B2B,missing revenue
2026-03-31,D-00040,Headset,HDS-1,South,Alice,ten,95,3705,CUST-1195,online,mixed quantity type
2026-04-20,D-00041,USB Cable,USB-1,North,,25,12,300,CUST-1060,Online,
2026-02-24,D-00042,Mouse,MOU-1,North,David,30,25,750,CUST-1260,online,
2026-04-14,D-00043,USB Cable,USB-1,West,,29,12,348,CUST-1053,,
2026-05-08,D-00044,Headset,HDS-1,NORTH,,24,95,2280,CUST-1239,Online,
2026-02-16,D-00045,Laptop,LAP-1,east,,22,850,18700,CUST-1105,,
2026-02-24,D-00046,Headset,HDS-1,EAST,,,95,2565,CUST-1032,Online,mixed quantity type
2026-05-08,D-00047,USB Cable,USB-1,EAST,,22,12,264,CUST-1245,STORE,
2026-03-10,D-00048,Mouse,MOU-1,east,Alice,13,25,325,CUST-1086,online,
2026-02-26,D-00049,Mouse,MOU-1,,David,32,25,800,CUST-1201,B2B,
2026-05-06,D-00050,Keyboard,KEY-1,south,Carla,34,45,1530,CUST-1226,,
2026-02-11,D-00051,Keyboard,KEY-1,east,Carla,23,45,1035,CUST-1163,,
2026-02-05,D-00052,Headset,HDS-1,east,Bob,9,95,855,CUST-1002,STORE,
2026-05-04,D-00053,Keyboard,KEY-1,West,Carla,34,45,1530,CUST-1170,Online,
2026-03-03,D-00054,monitor,MON-1,east,Alice,23,180,4140,CUST-1191,Store,
2026-04-10,D-00055,Mouse,MOU-1,South,Bob,13,25,325,CUST-1061,Store,
2026-03-25,D-00056,usb cable,USB-1,south,Alice,25,12,300,CUST-1243,Store,
2026-03-31,D-00057,mouse,MOU-1,North,,4,25,100,CUST-1111,Store,
2026-05-02,D-00058,Keyboard,KEY-1,NORTH,,2,45,90,CUST-1184,STORE,
2026-03-02,D-00059,USB Cable,USB-1,south,,29,12,348,CUST-1239,B2B,
2026-04-24,D-00060,Monitor,MON-1,East,,18,180,3240,CUST-1019,Store,
2026-02-28,D-00061,Mouse,MOU-1,south,alice,32,25,800,CUST-1171,STORE,
2026-02-19,D-00062,laptop,LAP-1,north,Alice,37,850,31450,CUST-1091,,
2026-04-04,D-00063,Monitor,MON-1,West,David,3,180,540,CUST-1058,online,
2026-03-11,D-00064,USB Cable,USB-1,east,BOB,17,12,204,CUST-1265,Store,
not_a_date,D-00065,Laptop,LAP-1,east,David,28,850,,CUST-1138,,missing revenue
2026-04-02,D-00066,USB Cable,USB-1,SOUTH,Bob,38,12,456,CUST-1209,Online,
2026-02-24,D-00067,Monitor,MON-1,East,,2,180,360,CUST-1030,online,
2026-02-11,D-00068,Headset,HDS-1,NORTH,BOB,35,95,3325,CUST-1204,Online,
2026-02-28,D-00069,USB Cable,USB-1,West,Carla,8,12,96,CUST-1052,,
2026-05-06,D-00070,Mouse,MOU-1,SOUTH,Alice,16,25,400,CUST-1250,STORE,
2026-02-09,D-00071,Laptop,LAP-1,East,Carla,26,850,22100,CUST-1020,online,
2026-02-05,D-00072,Monitor,MON-1,east,Carla,34,180,6120,CUST-1262,Store,
2026-02-02,D-00073,Mouse,MOU-1,East,David,17,25,425,CUST-1145,,
2026-04-28,D-00074,Laptop,LAP-1,EAST,Alice,19,850,16150,CUST-1005,Store,
2026-02-16,D-00075,Monitor,MON-1,,,36,180,6480,CUST-1131,Store,
2026-05-06,D-00076,Laptop,LAP-1,EAST,Carla,28,850,23800,CUST-1133,B2B,
2026-02-06,D-00077,USB Cable,USB-1,West,BOB,36,12,432,CUST-1012,Store,
2026-02-24,D-00078,Headset,HDS-1,WEST,David,3,95,285,CUST-1079,online,
2026-04-21,D-00079,USB Cable,USB-1,west,Alice,4,12,48,CUST-1066,STORE,
2026-04-18,D-00080,headset,HDS-1,West,Bob,40,95,3800,CUST-1125,B2B,
2026-03-24,D-00081,keyboard,KEY-1,West,alice,17,45,765,CUST-1180,B2B,
2026-02-08,D-00082,mouse,MOU-1,west,David,30,25,750,CUST-1110,Online,
2026-04-13,D-00083,Keyboard,KEY-1,EAST,Bob,N/A,45,45,CUST-1019,,mixed quantity type
2026-03-22,D-00084,USB Cable,USB-1,north,Alice,9,12,108,CUST-1290,Store,
2026-02-08,D-00085,Keyboard,KEY-1,EAST,David,20,45,900,CUST-1227,online,
2026-04-18,D-00086,Monitor,MON-1,south,David,14,180,2520,CUST-1167,Store,
2026-04-09,D-00087,Laptop,LAP-1,west,BOB,24,850,20400,CUST-1263,Store,
2026-03-28,D-00088,keyboard,KEY-1,SOUTH,Bob,9,45,405,CUST-1185,B2B,
2026-04-24,D-00089,Monitor,MON-1,north,David,27,180,4860,CUST-1173,STORE,
03/14/2026,D-00090,Mouse,MOU-1,WEST,David,4,25,100,CUST-1155,B2B,
2026-05-06,D-00091,USB Cable,USB-1,WEST,Carla,30,12,360,CUST-1262,STORE,
2026-03-09,D-00092,USB Cable,USB-1,EAST,Bob,8,12,96,CUST-1130,B2B,
2026-03-25,D-00093,Headset,HDS-1,East,David,19,unknown,1805,CUST-1177,B2B,mixed price type
2026-04-18,D-00094,Headset,HDS-1,North,Bob,14,95,1330,CUST-1078,online,
2026-03-29,D-00095,Keyboard,KEY-1,east,Carla,20,45,900,CUST-1190,STORE,
2026-02-24,D-00096,Keyboard,KEY-1,east,Bob,19,45,855,CUST-1147,,
2026-04-17,D-00097,mouse,MOU-1,North,Carla,31,25,775,CUST-1169,B2B,
2026-04-18,D-00098,Keyboard,KEY-1,east,Carla,36,45,1620,CUST-1054,online,
2026-03-27,D-00099,Mouse,MOU-1,east,alice,13,25,325,CUST-1078,B2B,
2026-03-19,D-00100,USB Cable,USB-1,east,,15,12,180,CUST-1228,B2B,
2026-04-21,D-00101,Headset,HDS-1,,Bob,2,95,190,CUST-1251,Store,
2026-04-28,D-00102,Monitor,MON-1,SOUTH,alice,26,180,4680,CUST-1103,B2B,
2026-02-14,D-00103,Monitor,MON-1,South,Carla,4,unknown,720,CUST-1180,B2B,mixed price type
2026-04-21,D-00104,Keyboard,KEY-1,East,BOB,24,45,1080,CUST-1104,B2B,
2026-04-26,D-00105,Monitor,MON-1,West,David,27,180,4860,CUST-1003,B2B,
2026-05-07,D-00106,usb cable,USB-1,South,alice,,12,72,CUST-1242,Online,mixed quantity type
2026-03-20,D-00107,keyboard,KEY-1,WEST,,31,45,1395,CUST-1298,Store,
2026-03-01,D-00108,Monitor,MON-1,west,BOB,36,180,6480,CUST-1035,,
2026-04-29,D-00109,Monitor,MON-1,EAST,David,3,180,540,CUST-1012,Online,
2026-02-05,D-00110,Keyboard,KEY-1,north,alice,24,45,1080,CUST-1189,Store,
2026-02-23,D-00111,Laptop,LAP-1,South,BOB,11,850,9350,CUST-1111,STORE,
2026-03-28,D-00112,mouse,MOU-1,west,BOB,32,25,800,CUST-1278,STORE,
2026-04-23,D-00113,Monitor,MON-1,EAST,BOB,34,180,6120,CUST-1270,B2B,
2026-03-09,D-00114,Monitor,MON-1,East,,,180,6120,CUST-1127,,missing quantity
2026-03-07,D-00115,Mouse,MOU-1,NORTH,Carla,1,25,25,CUST-1095,,
2026-05-10,D-00116,Monitor,MON-1,East,Carla,28,180,5040,CUST-1140,Online,
2026-03-05,D-00117,Monitor,MON-1,east,,36,180,6480,CUST-1208,Store,
2026-03-29,D-00118,USB Cable,USB-1,east,Carla,21,12,252,CUST-1139,STORE,
2026-04-14,D-00119,mouse,MOU-1,south,,20,25,500,CUST-1111,STORE,
2026-04-20,D-00120,Headset,HDS-1,East,,22,95,2090,CUST-1159,,
2026-02-19,D-00121,Mouse,MOU-1,,Alice,40,25,1000,CUST-1284,STORE,
2026-03-21,D-00122,Keyboard,KEY-1,EAST,alice,38,45,1710,CUST-1062,,
2026-04-10,D-00123,Mouse,MOU-1,,Bob,9,25,225,CUST-1136,online,
2026-04-13,D-00124,Monitor,MON-1,South,,9,180,1620,CUST-1285,B2B,
2026-02-07,D-00125,Monitor,MON-1,WEST,David,5,180,900,CUST-1253,STORE,
2026-03-04,D-00126,Laptop,LAP-1,,David,17,850,14450,CUST-1230,,
2026-03-24,D-00127,Headset,HDS-1,west,Alice,24,95,2280,CUST-1027,B2B,
2026-03-16,D-00128,Laptop,LAP-1,East,Carla,9,850,7650,CUST-1130,STORE,
2026-03-06,D-00129,mouse,MOU-1,East,alice,27,25,675,CUST-1130,online,
2026-03-18,D-00130,mouse,MOU-1,NORTH,alice,17,25,425,CUST-1261,online,
2026-03-29,D-00131,Keyboard,KEY-1,South,David,30,45,1350,CUST-1042,,
2026-04-15,D-00132,Laptop,LAP-1,North,David,37,850,31450,CUST-1209,B2B,
2026-04-22,D-00133,Laptop,LAP-1,North,alice,16,850,13600,CUST-1134,Store,
2026-02-24,D-00134,Mouse,MOU-1,East,BOB,37,25,925,CUST-1095,online,
2026-04-27,D-00135,USB Cable,USB-1,north,Alice,4,12,48,CUST-1205,Online,
2026-05-07,D-00136,USB Cable,USB-1,North,David,40,12,480,CUST-1077,Store,
2026-04-19,D-00137,Laptop,LAP-1,,Carla,34,850,28900,CUST-1297,online,
2026-03-19,D-00138,USB Cable,USB-1,SOUTH,,N/A,12,468,CUST-1048,Online,mixed quantity type
2026-03-10,D-00139,Mouse,MOU-1,south,Alice,21,25,525,CUST-1247,online,
2026-05-05,D-00140,headset,HDS-1,West,Bob,24,95,2280,CUST-1071,Online,
2026-03-24,D-00141,USB Cable,USB-1,east,alice,38,12,456,CUST-1144,online,
2026-03-03,D-00142,Mouse,MOU-1,south,BOB,3,25,75,CUST-1044,Store,
2026-03-25,D-00143,Monitor,MON-1,South,,27,180,4860,CUST-1044,online,
2026-03-18,D-00144,Keyboard,KEY-1,SOUTH,Bob,N/A,45,1485,CUST-1215,online,mixed quantity type
2026-02-18,D-00145,Laptop,LAP-1,NORTH,,16,850,13600,CUST-1160,Online,
2026-02-01,D-00146,Laptop,LAP-1,East,,23,850,19550,CUST-1021,online,
2026-04-16,D-00147,laptop,LAP-1,NORTH,alice,21,850,17850,CUST-1267,Online,
2026-03-22,D-00148,Monitor,MON-1,,BOB,39,180,7020,CUST-1294,Store,
2026-05-09,D-00149,Headset,HDS-1,West,David,20 units,95,1425,CUST-1041,online,mixed quantity type
2026-03-15,D-00150,Monitor,MON-1,north,BOB,4,180,720,CUST-1016,Store,
2026-03-07,D-00151,Mouse,MOU-1,SOUTH,David,26,25,650,CUST-1056,STORE,
2026-02-04,D-00152,Mouse,MOU-1,north,David,3,25,75,CUST-1156,STORE,
2026-04-06,D-00153,Laptop,LAP-1,East,David,,850,17850,CUST-1126,Store,missing quantity
2026-03-26,D-00154,Mouse,MOU-1,south,BOB,,25,400,CUST-1238,,mixed quantity type
2026-02-07,D-00155,laptop,LAP-1,,Carla,37,850,31450,CUST-1119,online,
2026-03-30,D-00156,Laptop,LAP-1,WEST,Carla,,850,8500,CUST-1225,Online,missing quantity
2026-02-15,D-00157,Mouse,MOU-1,west,BOB,22,25,550,CUST-1108,,
2026-04-14,D-00158,Headset,HDS-1,SOUTH,,31,95,,CUST-1270,Online,missing revenue
2026-03-31,D-00159,Monitor,MON-1,east,BOB,39,180,7020,CUST-1288,Store,
2026-02-04,D-00160,Headset,HDS-1,West,alice,5,95,475,CUST-1193,STORE,
2026-05-10,D-00161,USB Cable,USB-1,South,,13,12,156,CUST-1147,,
2026-04-05,D-00162,Laptop,LAP-1,North,,34,850,28900,CUST-1179,,
2026-05-03,D-00163,Headset,HDS-1,WEST,David,19,95,1805,CUST-1292,Store,
2026-03-20,D-00164,Monitor,MON-1,SOUTH,Alice,2,180,360,CUST-1295,B2B,
2026-03-23,D-00165,Mouse,MOU-1,NORTH,Bob,1,25,25,CUST-1230,Online,
2026-04-16,D-00166,Headset,HDS-1,west,,11,95,1045,CUST-1033,Online,
2026-04-13,D-00167,monitor,MON-1,West,BOB,720,180,129600,CUST-1223,Online,extreme outlier
2026-04-17,D-00168,headset,HDS-1,EAST,alice,5,95,475,CUST-1239,Online,
2026-02-07,D-00169,Mouse,MOU-1,North,David,9,25,225,CUST-1268,online,
2026-04-01,D-00170,Monitor,MON-1,east,Bob,32,180,5760,CUST-1197,STORE,
2026-02-17,D-00171,Laptop,LAP-1,WEST,,7,850,5950,CUST-1156,online,
2026-02-04,D-00172,Monitor,MON-1,East,alice,29,180,5220,CUST-1085,Store,
2026-02-05,D-00173,Keyboard,KEY-1,WEST,,8,45,360,CUST-1144,,
2026-04-09,D-00174,Headset,HDS-1,north,,40,95,3800,CUST-1239,,
2026-03-07,D-00175,Headset,HDS-1,north,Bob,34,95,3230,CUST-1057,online,
2026-05-05,D-00176,Monitor,MON-1,east,BOB,17,180,3060,CUST-1191,STORE,
2026-04-21,D-00177,Headset,HDS-1,SOUTH,,22,95,2090,CUST-1296,STORE,
2026-04-02,D-00178,Laptop,LAP-1,West,BOB,12,850,10200,CUST-1031,,
2026-03-21,D-00179,Keyboard,KEY-1,east,alice,28,45,1260,CUST-1295,Online,
2026-04-14,D-00180,Monitor,MON-1,North,BOB,38,180,6840,CUST-1039,Store,
2026-05-09,D-00181,USB Cable,USB-1,EAST,Bob,31,12,372,CUST-1263,,
2026-05-04,D-00182,Monitor,MON-1,East,Bob,24,180,4320,CUST-1027,Store,
2026-04-18,D-00183,Headset,HDS-1,EAST,alice,18,95,1710,CUST-1058,Store,
2026-04-13,D-00184,Mouse,MOU-1,WEST,David,26,25,650,CUST-1062,online,
2026-03-02,D-00185,USB Cable,USB-1,east,,11,12,132,CUST-1261,online,
2026-03-15,D-00186,Laptop,LAP-1,east,David,16,850,13600,CUST-1028,B2B,
2026-03-14,D-00187,Monitor,MON-1,east,Carla,32,180,5760,CUST-1104,Online,
2026-02-17,D-00188,Headset,HDS-1,South,alice,20,95,1900,CUST-1035,,
2026-03-15,D-00189,Monitor,MON-1,North,Carla,N/A,180,4140,CUST-1263,Online,mixed quantity type
2026-05-05,D-00190,Mouse,MOU-1,SOUTH,,25,25,625,CUST-1095,STORE,
2026-03-05,D-00191,Mouse,MOU-1,,,13,25,325,CUST-1002,STORE,
03/14/2026,D-00192,Keyboard,KEY-1,west,Carla,20 units,45,945,CUST-1136,Online,mixed quantity type
2026-02-08,D-00193,Headset,HDS-1,West,,N/A,95,475,CUST-1133,STORE,mixed quantity type
2026-02-25,D-00194,Keyboard,KEY-1,North,alice,18,45,810,CUST-1268,Online,
2026-04-06,D-00195,USB Cable,USB-1,north,BOB,40,12,480,CUST-1079,,
2026-04-17,D-00196,Mouse,MOU-1,south,alice,24,25,600,CUST-1051,Online,
2026-03-14,D-00197,Headset,HDS-1,North,alice,32,95 usd,3040,CUST-1210,B2B,mixed price type
2026-04-29,D-00198,Mouse,MOU-1,SOUTH,Carla,25,25,625,CUST-1213,Store,
2026-02-01,D-00199,Mouse,MOU-1,East,Bob,8,25,200,CUST-1073,,
2026-03-04,D-00200,USB Cable,USB-1,south,BOB,ten,12,228,CUST-1141,online,mixed quantity type
2026-03-22,D-00201,Laptop,LAP-1,west,Alice,40,850,34000,CUST-1025,online,
2026-02-07,D-00202,mouse,MOU-1,West,David,37,25,925,CUST-1055,online,
2026-02-25,D-00203,Keyboard,KEY-1,WEST,Bob,9,45,,CUST-1000,Store,missing revenue
2026-02-22,D-00204,Keyboard,KEY-1,North,David,7,45,315,CUST-1223,B2B,
2026-04-27,D-00205,Laptop,LAP-1,South,BOB,34,850,28900,CUST-1100,online,
2026-03-23,D-00206,Keyboard,KEY-1,,alice,1,45,45,CUST-1168,online,
2026-05-01,D-00207,keyboard,KEY-1,SOUTH,,36,45,1620,CUST-1280,Store,
2026-04-14,D-00208,Laptop,LAP-1,NORTH,alice,22,850,18700,CUST-1299,Online,
2026-04-24,D-00209,Headset,HDS-1,West,Carla,7,95,665,CUST-1257,Online,
2026-03-10,D-00210,Laptop,LAP-1,SOUTH,,ten,850,16150,CUST-1295,STORE,mixed quantity type
2026-02-25,D-00211,USB Cable,USB-1,North,alice,8,12,96,CUST-1083,,
2026-02-04,D-00212,laptop,LAP-1,EAST,Carla,29,850,24650,CUST-1157,online,
2026-04-21,D-00213,USB Cable,USB-1,south,alice,33,12,396,CUST-1277,Store,
2026-04-01,D-00214,Mouse,MOU-1,west,David,39,25,975,CUST-1052,online,
2026-03-12,D-00215,Keyboard,KEY-1,,Bob,37,45,1665,CUST-1058,STORE,
2026-04-25,D-00216,Laptop,LAP-1,NORTH,BOB,,850,5950,CUST-1052,B2B,missing quantity
2026-03-24,D-00217,USB Cable,USB-1,south,Alice,11,12,132,CUST-1064,Store,
2026-05-04,D-00218,Headset,HDS-1,north,BOB,17,95,1615,CUST-1080,Online,
2026-02-18,D-00219,Keyboard,KEY-1,NORTH,BOB,16,45,720,CUST-1274,online,
2026-03-29,D-00220,Laptop,LAP-1,West,BOB,29,850,24650,CUST-1274,online,
2026-04-23,D-00221,Headset,HDS-1,EAST,,28,95,2660,CUST-1249,Store,
2026-02-10,D-00222,Laptop,LAP-1,WEST,Alice,29,850,24650,CUST-1010,Store,
2026-02-28,D-00223,headset,HDS-1,WEST,,3,95,285,CUST-1074,B2B,
2026-04-01,D-00224,Mouse,MOU-1,north,,23,25,575,CUST-1272,STORE,
2026-04-27,D-00225,Mouse,MOU-1,WEST,BOB,38,25,950,CUST-1297,STORE,
2026-03-13,D-00226,Headset,HDS-1,NORTH,BOB,12,95,1140,CUST-1195,,
2026-02-25,D-00227,Headset,HDS-1,EAST,Alice,11,95,1045,CUST-1244,,
2026-02-06,D-00228,Keyboard,KEY-1,east,BOB,12,45,540,CUST-1040,STORE,
2026-04-20,D-00229,usb cable,USB-1,East,Bob,24,12,288,CUST-1041,,
2026-02-25,D-00230,keyboard,KEY-1,North,,16,45,720,CUST-1001,online,
2026-04-03,D-00231,Keyboard,KEY-1,south,Carla,1,45,45,CUST-1295,STORE,
2026-04-20,D-00232,Monitor,MON-1,WEST,,13,180,2340,CUST-1064,Online,
2026-03-03,D-00233,USB Cable,USB-1,West,Carla,1,12,12,CUST-1282,B2B,
2026-05-06,D-00234,Keyboard,KEY-1,SOUTH,David,18,45,810,CUST-1051,Store,
2026-02-25,D-00235,Headset,HDS-1,north,,3,95,285,CUST-1106,,
2026-04-30,D-00236,Keyboard,KEY-1,North,,8,45,360,CUST-1254,B2B,
2026-03-16,D-00237,Laptop,LAP-1,East,David,15,850,12750,CUST-1005,B2B,
2026-05-05,D-00238,Laptop,LAP-1,NORTH,Bob,17,850 usd,14450,CUST-1121,B2B,mixed price type
2026-02-18,D-00239,Monitor,MON-1,North,BOB,32,180,5760,CUST-1088,Store,
2026-04-23,D-00240,usb cable,USB-1,,BOB,8,12,96,CUST-1180,B2B,
2026-04-28,D-00241,Monitor,MON-1,NORTH,,21,180,3780,CUST-1162,STORE,
2026-03-27,D-00242,mouse,MOU-1,West,BOB,32,25,800,CUST-1122,Online,
2026-02-03,D-00243,usb cable,USB-1,East,David,33,12,396,CUST-1297,B2B,
2026-04-28,D-00244,laptop,LAP-1,,Alice,2,850,1700,CUST-1124,,
2026-03-26,D-00245,Keyboard,KEY-1,North,Bob,36,45,1620,CUST-1034,STORE,
2026-02-20,D-00246,Keyboard,KEY-1,NORTH,Carla,689,45,31005,CUST-1216,Online,extreme outlier
2026-03-27,D-00247,Headset,HDS-1,South,Bob,36,95,3420,CUST-1032,B2B,
2026-04-14,D-00248,usb cable,USB-1,west,Bob,37,12,444,CUST-1010,B2B,
2026-02-25,D-00249,Headset,HDS-1,south,Carla,20,95,1900,CUST-1066,Online,
2026-02-06,D-00250,Monitor,MON-1,East,Alice,24,$180,4320,CUST-1033,Online,mixed price type
2026-04-22,D-00251,Keyboard,KEY-1,WEST,,8,45,360,CUST-1292,B2B,
2026-02-18,D-00252,Laptop,LAP-1,NORTH,BOB,31,850,26350,CUST-1182,online,
2026-05-08,D-00253,Headset,HDS-1,,alice,30,95,2850,CUST-1267,STORE,
2026-05-09,D-00254,USB Cable,USB-1,east,,38,12,456,CUST-1216,online,
2026-05-06,D-00255,Monitor,MON-1,west,alice,24,180,4320,CUST-1065,Store,
2026-04-19,D-00256,USB Cable,USB-1,west,Bob,6,12,72,CUST-1021,B2B,
2026-04-06,D-00257,Monitor,MON-1,SOUTH,,15,unknown,2700,CUST-1261,Online,mixed price type
2026-04-24,D-00258,headset,HDS-1,EAST,Alice,30,95,2850,CUST-1255,STORE,
2026-04-26,D-00259,Monitor,MON-1,,alice,20,180,3600,CUST-1178,online,
2026-03-13,D-00260,usb cable,USB-1,EAST,David,22,12,264,CUST-1122,,
2026-03-23,D-00261,Headset,HDS-1,,BOB,20 units,95,855,CUST-1298,Store,mixed quantity type
2026-03-30,D-00262,Laptop,LAP-1,EAST,David,37,850,31450,CUST-1215,online,
2026-02-02,D-00263,mouse,MOU-1,SOUTH,BOB,4,25,100,CUST-1234,STORE,
2026-04-26,D-00264,Keyboard,KEY-1,WEST,David,12,unknown,540,CUST-1112,,mixed price type
2026-03-13,D-00265,Keyboard,KEY-1,EAST,,19,45,855,CUST-1233,online,
2026-05-01,D-00266,USB Cable,USB-1,NORTH,Bob,34,12,408,CUST-1054,Online,
2026-05-06,D-00267,laptop,LAP-1,south,Alice,30,850,25500,CUST-1158,online,
2026-05-09,D-00268,laptop,LAP-1,east,David,8,850,6800,CUST-1251,STORE,
2026-04-30,D-00269,Laptop,LAP-1,south,,18,850,,CUST-1209,online,missing revenue
2026-02-11,D-00270,USB Cable,USB-1,NORTH,Carla,27,12,324,CUST-1153,online,
2026-02-08,D-00271,headset,HDS-1,,Alice,17,95,1615,CUST-1060,STORE,
2026-04-01,D-00272,Monitor,MON-1,North,Carla,1,180,180,CUST-1150,Store,
2026-05-08,D-00273,Laptop,LAP-1,East,,30,850,25500,CUST-1131,STORE,
2026-04-28,D-00274,Laptop,LAP-1,South,alice,14,850,11900,CUST-1237,online,
2026-04-21,D-00275,USB Cable,USB-1,West,Bob,33,12,396,CUST-1145,online,
2026-02-03,D-00276,Keyboard,KEY-1,North,alice,34,45,1530,CUST-1261,online,
2026-05-10,D-00277,Keyboard,KEY-1,SOUTH,,16,45,720,CUST-1190,Online,
2026-04-07,D-00278,Laptop,LAP-1,east,Alice,11,850,9350,CUST-1011,Store,
2026-03-07,D-00279,Mouse,MOU-1,East,,30,25,750,CUST-1151,Online,
2026-04-30,D-00280,Keyboard,KEY-1,west,Bob,14,45,630,CUST-1105,Online,
2026-02-10,D-00281,Keyboard,KEY-1,North,Bob,,45,765,CUST-1014,online,missing quantity
2026-02-02,D-00282,Monitor,MON-1,North,Alice,7,180,1260,CUST-1184,Store,
2026-02-23,D-00283,Laptop,LAP-1,east,BOB,20,850,17000,CUST-1187,Store,
2026-04-13,D-00284,Keyboard,KEY-1,East,alice,9,45,405,CUST-1160,,
2026-05-09,D-00285,USB Cable,USB-1,East,alice,37,12,444,CUST-1273,B2B,
2026-03-15,D-00286,Keyboard,KEY-1,EAST,Bob,14,45,630,CUST-1205,STORE,
2026-02-17,D-00287,Headset,HDS-1,West,Carla,40,95,3800,CUST-1016,Store,
2026-02-25,D-00288,Mouse,MOU-1,SOUTH,Alice,13,25,325,CUST-1105,,
2026-05-06,D-00289,Headset,HDS-1,SOUTH,Alice,22,95,2090,CUST-1253,B2B,
2026-02-06,D-00290,Monitor,MON-1,east,BOB,33,180,,CUST-1184,B2B,missing revenue
2026-03-10,D-00291,Mouse,MOU-1,east,,23,25,575,CUST-1129,B2B,
2026-05-11,D-00292,Keyboard,KEY-1,south,,37,45,1665,CUST-1144,Online,
2026-02-07,D-00293,Monitor,MON-1,NORTH,,1,180,180,CUST-1152,STORE,
2026-03-28,D-00294,Mouse,MOU-1,east,BOB,30,25,750,CUST-1287,B2B,
2026-04-25,D-00295,keyboard,KEY-1,south,Alice,ten,45,1125,CUST-1239,Store,mixed quantity type
2026-03-19,D-00296,keyboard,KEY-1,,,23,45,1035,CUST-1030,STORE,
2026-04-20,D-00297,Mouse,MOU-1,east,Bob,10,25,250,CUST-1203,Store,
2026-03-19,D-00298,Headset,HDS-1,East,Alice,7,95,665,CUST-1111,Store,
